"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"If any entry form is open, your entry will be canceled. Otherwise the selected items will be removed.",,
"Ignore Pricing Rule",,
"Ignore reason",,
Ignored,,
Image,Imatge,
"Import CSV/OFX",,
"Import Complete",,
"Import Data","Importar dades",
"Import Data.",,
"Import Lists (CSV)",,
"Import Type","Tipus d'importació",
"Import Wizard",,
"Import accounts, customers, vendors, items, and other lists from a CSV file",,
"Import bank statement",,
"Import transactions",,
"Imported ${0} transaction(s).",,
"Imported at",,
"Imported lines land in For Review. Nothing posts until you Add or Match. If auto-staging is off in Bank Feed Settings, use Pull bank feed.",,
"Importer not set, reload tool",,
"In progress",,
"In stock",,
Inactive,,
"Inbox of imported bank activity. Pick a category and Add it to your books, or Match it to an existing entry. Excluded items move to the Excluded tab and are hidden from your reports.",,
"Include Cancelled",,
Income,Ingressos,
"Income Account",,
"Increase print template display scale",,
Indigo,,
"Indirect Expenses","Despeses indirectes",
"Indirect Income","Ingressos indirectes",
Inflow,Entrades,
"Initial Sync Data",,
"Instance Id",,
"Insufficient Quantity",,
"Insufficient Quantity.",,
"Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2}",,
Int,,
"Integration Error Log",,
Interested,,
"Intergrated Tax","Taxes integrades",
"Internal Precision","Precisió interna",
"Invalid HSN Code.",,
"Invalid Key Error",,
"Invalid Quantity for Item ${0}",,
"Invalid barcode value ${0}.",,
"Invalid value ${0} for ${1}",,
"Invalid value found for ${0}",,
Inventory,,
"Inventory Items",,
"Inventory Settings",,
Investments,Inversions,
Invoice,Factura,
"Invoice Created","Factura creada",
"Invoice Date","Data de factura",
"Invoice Item",,
"Invoice No","Factura No",
"Invoice No.","Factura No.",
"Invoice Value","Preu de la factura",
"Invoice payments cannot be made recurring. Use Cheque Register for recurring payees.",,
Invoices,Factures,
Is,És,
"Is Coupon Code Based",,
"Is Custom",,
"Is Empty","És buit",
"Is Enabled",,
"Is Group","És un grup",
"Is Landscape",,
"Is Not","No és",
"Is Not Empty","No és buit",
"Is POS Shift Open",,
"Is Price List Enabled",,
"Is Pricing Rule Enabled",,
"Is Recursive",,
"Is Required",,
"Is Sync Enabled",,
"Is Whole",,
Item,Elements,
"Item ${0} has Zero Quantity",,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item ${0} is out of stock (quantity is zero)",,
"Item ${0} not found",,
"Item ${0} not in Stock",,
"Item ${0} only has ${1} Quantity",,
"Item ${0} only has ${1} Quantity in batch ${2}",,
"Item Code",,
"Item Code Digits",,
"Item Description",,
"Item Discounts",,
"Item Enquiry",,
"Item Group",,
"Item Name","Nom de l'element",
"Item Prices",,
"Item Visibility",,
"Item enquiry submitted",,
"Item with From location not found",,
"Item with To location not found",,
"Item with barcode ${0} not found.",,
ItemCode,,
Items,Elements,
"Items (Payables)",,
"Items (Receivables)",,
January,,
"John Doe",,
"Journal Entries",,
"Journal Entry","Entrada del diari",
"Journal Entry Account",,
"Journal Entry Number Series",,
"Journal Entry Print Template",,
July,,
June,,
"Key Hints",,
Kg,,
Kind,,
Label,,
Language,Idiom,
"Last reconciled",,
"Last statement balance",,
"Last successful Plaid apply",,
"Last sync",,
Lead,,
"Ledger account",,
"Ledger balance",,
"Ledger device id",,
"Ledger entry",,
"Ledger name",,
"Left Index",,
"Legal Expenses","Despeses al llibre de comptabilitat",
"Less Filters",,
"Less Than","Menor que",
Liability,,
Limit,,
Lines,,
Link,,
"Link Validation Error",,
"Linked Entries",,
List,,
"List View",,
"Live Feeds",,
"LiveBooks Cloud",,
"LiveBooks Cloud account connected",,
"LiveBooks Cloud — checking connection",,
"LiveBooks Cloud — connected",,
"LiveBooks Cloud — sign in or manage",,
"LiveBooks Cloud — signed in, server unreachable",,
"LiveBooks Desktop Version",,
"LiveBooks Desktop does not have access to the selected file: ${0}",,
"Load an existing company from your computer",,
"Loading Plaid accounts…",,
"Loading Report...",,
"Loading Workspace…",,
"Loading accounts…",,
"Loading feeds…",,
"Loading instance...",,
"Loading manual banks…",,
"Loading transactions…",,
Loading...,Loading...,
Loading…,,
"Loans (Liabilities)","Préstecs (Càrregues)",
"Loans and Advances (Assets)","Préstecs i avançaments (Actius)",
"Local Mutation",,
Locale,Local,
Location,,
"Location Name",,
Logo,Logotip,
"Loser Device",,
"Loser Payload",,
"Loser Updated At",,
"Loyalty Point Entry",,
"Loyalty Points",,
"Loyalty Points Redemption",,
"Loyalty Program",,
"Loyalty Program Tier",,
"Loyalty program has expired and cannot be applied",,
"Loyalty program has expired or reached maximum usage",,
"Make Entry",,
"Make Payment On Submit",,
"Make Purchase Receipt On Submit",,
"Make Shipment On Submit",,
"Make recurring…",,
"Manage Cloud",,
