"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"Closing Cash In Denominations","Total de Moedas/Notas no Fechamento",
"Closing Date","Data de Fechamento",
"Closing balance on your statement (the target).",,
"Cloud statement id",,
Collapse,Reduzir,
"Collection Factor",,
"Collection Rules",,
Color,Cor,
Colour,,
"Column mapping",,
"Commission on Sales","Comissão de Vendas",
Common,Comum,
Company,Empresa,
"Company Logo","Logótipo da empresa",
"Company Name","Nome da empresa",
"Company Setup","Configuração da Empresa",
"Company file moved to ${0}.",,
"Company file moved to ${0}. The previous file could not be retired — please remove or rename it manually so it is not opened as a second copy.",,
Completed,Concluído,
Condition,Condição,
"Connect Banks via Plaid",,
"Connection broken — sign in again.",,
"Connection healthy",,
"Consolidate Columns","Consolidar Colunas",
Contact,,
Contacts,Contatos,
Contains,Contém,
"Content hash",,
Continue,,
"Continue submitting Invoice?",,
"Continue submitting Sales Invoice?","Enviar o Registro de Vendas?",
"Contra Entry","Contra entrada",
"Conversion Error","Erro de Conversão",
"Conversion Factor","Fator de Conversão",
Converted,,
"Cost Of Goods Sold Acc.","Custo de bens vendidos (acm)",
"Cost of Goods Sold","Custo de bens vendidos",
"Could not add transaction.",,
"Could not check for updates.",,
"Could not connect to database file ${0}, please select the file manually","Não foi possivel conectar ao arquivo de banco de dados ${0}, por favor verifique o arquivo manualmente.",
"Could not disconnect bank feeds in LiveBooks Cloud. The local company file will still be deleted.",,
"Could not open the company at ${0}. Please reopen it from the company list.",,
"Could not re-fetch prior bank batches. Upload a CSV/OFX if history is missing.",,
"Could not reach the update server. Check your connection and try again.",,
"Could not reactivate feed.",,
"Could not resolve your cloud book for this company file.",,
"Could not save bank connection.",,
"Could not start Plaid Link.",,
"Couldn't find a parent account in the chart of accounts. Add a Bank Accounts (or Liability) group first.",,
"Couldn't finish setting up the bank account.",,
"Couldn't load transactions.",,
"Couldn't save the bank account. Please try again.",,
"Couldn't save the bank account: ${0}",,
"Couldn't save the statement. Please try again.",,
Count,Contar,
"Counter Cash Account","Conta de Contagem de Dinheiro",
Country,País,
"Country Code",,
"Country code used to initialize regional settings.","Código de País para inicializar as configurações regionais",
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,Transportadora,
Cr.,Cr.,
"Cr. ${0}","Cr. ${0}",
Create,Criar,
"Create Demo","Criar Demonstração",
"Create Payment.",,
"Create Purchase","Criar Despesa",
"Create Purchase Invoice","Criar Receita",
"Create Sale","Criar Venda",
"Create Sales Invoice","Criar Venda",
"Create a demo company to try out LiveBooks Desktop",,
"Create a new company and store it on your computer","Criar uma nova empresa e armazene seus dados no seu PC.",
"Create a new company or select an existing one from your computer","Criar uma nova empresa ou selecionar uma empresa existente no seu PC.",
"Create a new entry of the same type as the List View","Criar um novo registro do mesmo tipo da Lista",
"Create all due",,
"Create new ${0} entry?","Criar novo registro ${0}",
"Create your first purchase invoice from the created supplier","Criar minha primeira despesa para um fornecedor",
"Create your first sales invoice for the created customer","Criar minha primeira venda para um cliente",
"Create: ${0}",,
Created,Criado,
"Created ${0} recurring payments",,
"Created 1 recurring payment",,
"Created At",,
"Created By","Criado por",
"Created recurring payment",,
"Creating Items and Parties","Criando Items e Participantes",
"Creating Journal Entries","Criando Registros Financeiros",
"Creating Purchase Invoices","Criando Registros de Despesas",
Credit,Crédito,
"Credit Card Entry","Registro de Cartão de Crédito",
"Credit Note","Nota de Crédito",
"Credit card",,
"Credit column (optional)",,
Creditors,Fornecedores,
Currency,Moeda,
"Currency Name","Nome da moeda",
Current,Actual,
"Current Assets","Ativos correntes",
"Current Liabilities","Passivo corrente",
"Custom Field","Campo Extra",
"Custom Fields","Campos Extra",
"Custom Form","Formulário Personalizado",
"Custom Hex","Cores Hex Personalizadas",
Customer,Cliente,
"Customer / vendor",,
"Customer Created","Cliente Criado",
"Customer Currency","Moeda do cliente",
"Customer has no loyalty points to redeem",,
Customers,Clientes,
"Customers & Suppliers",,
Customizations,Personalizações,
"Customize Form","Personalizar Formulário",
"Customize your invoices by adding a logo and address details","Personalizar suas vendas adicionando um logo e endereço",
Daily,,
"Dark mode",,
Dashboard,Dashboard,
Data,Dados,
"Data Sync Interval (In Minutes)",,
"Database Error","Erro no Banco de Dados",
Date,Data,
"Date Format","Formato da data",
"Date Time","Data e Hora",
Day,Dia,
Days,,
Debit,Débito,
"Debit Note","Nota de Débito",
"Debit column (optional)",,
Debtors,Devedores,
December,Dezembro,
"Decrease print template display scale","Reduzir zoom do formato de impressão",
Default,Padrão,
"Default Account","Conta por padrão",
"Default Cash Denominations","Moedas/Notas por Padrão",
"Default Location","Localização por Padrão",
Defaults,"Configurações padrões",
Delete,Eliminar,
"Delete ${0}?","Deletar ${0}?",
"Delete Account","Deletar a Conta?",
"Delete Failed","Falha ao Deletar",
"Delete Group","Deletar um Grupo",
"Delete Permanently",,
"Delete account",,
"Delete account and disconnect bank from Plaid?",,
"Delete and disconnect institution",,
"Delete this account?",,
"Deleted ${0} account(s).",,
"Deleted imported lines by mistake? Re-queue batches LiveBooks Cloud still has (typically within 90 days). This replays saved imports — it does not fetch brand-new bank history from Plaid or undo journals you posted. Then open Bank Account Activity for each mapped ledger account.",,
Delivered,Entregue,
Denomination,Moedas/Notas,
Deposit,,
"Deposits and income (match the deposits column on your statement).",,
Depreciation,Depreciação,
"Depreciation Entry","Registro de Depreciação",
Description,Descrição,
Details,Detalhes,
"Device ID",,
"Device Id",,
"Device is offline. Please connect to a network to continue.",,
Difference,,
"Difference Amount","Valor de Diferença",
"Direct Expenses","Despesas diretas",
"Direct Income","Rendimento direto",
"Directory for database file ${0} does not exist, please select the file manually","O local do arquivo de banco de dados ${0} não existe, por favor selecione o arquivo manualemnte.",
Disabled,Desativado,
"Disabled (archived)",,
Disconnect,,
"Disconnect Feed",,
"Disconnect Feed pauses imports for that account. The mapping stays; use Reactivate feed to resume.",,
"Disconnect LiveBooks Cloud?",,
"Disconnect entire bank from Plaid?",,
"Disconnect feed",,
"Disconnect feed?",,
"Disconnect institution",,
"Disconnect this computer",,
"Disconnected from LiveBooks Cloud",,
"Disconnecting the last account for a bank removes the whole Plaid connection until you connect again.",,
"Discount Account","Conta de Desconto",
"Discount Account is not set.","Conta de Desconto não está configurada",
"Discount Amount","Valor do Desconto",
"Discount Amount (${0}) cannot be greated than Amount (${1}).","O valor do desconto ${0} não pode ser maior que o total ${1}",
"Discount Percent","% do Desconto",
"Discount Percent (${0}) cannot be greater than 100.","O % do desconto não pode ser maior que 100.",
"Discount Percentage",,
"Discount Type",,
"Discounted Amount","Valor Descontado",
Discounts,Descontos,
Discrepancy,,
Dismiss,,
"Display Amount In Words",,
"Display Description In Invoice",,
"Display Doc","Mostrar Documento",
"Display Logo in Invoice","Mostrar Logo no registro de vendas",
"Display Precision","Qtd de digitos",
"Display Precision should have a value between 0 and 9.","A Qtd de Digitos deve ter um valor entre 0 e 9.",
"Display Scale","Escala de Valor",
"Display Terms and Conditions",,
"Display Time In Invoice",,
"Display Zoom",,
"Dividends Paid","Dividendos pagos",
"Do not Contact",,
"Doc ${0} ${1} not set","Registro ${0} ${1} não existe",
Docs,Registros,
Document,,
"Document Name",,
"Document No.",,
Documentation,Documentação,
"Does Not Contain","Não Contém",
Done,Feito,
"Done. New files: ${0}",,
Dr.,Db.,
"Dr. ${0}","Db. ${0}",
Draft,Editando,
Duplicate,Duplicar,
"Duplicate Entry","Duplicar Registro",
"Duplicate Template","Duplicar Modelo",
"Duplicate columns found: ${0}","Colunas em duplicidade: ${0}",
"Duties and Taxes","Impostos e Taxas",
"Dynamic Link","Vínculo Dinâmico",
"ERP Sync Items",,
"ERPNext Sync Queue",,
"ERPNext Sync Settings",,
"Earnest Money","Dinheiro Ganho",
Edit,,
Eight,,
Eighteen,,
Eighty,,
"Electronic Equipments","Equipamentos electrônicos",
Eleven,,
Email,Email,
"Email Address","Endereço de correio electrônico",
